city,title,price,area,rooms,link,price_per_m2,area_per_room
gdynia,Mieszkanie na sprzedażul. StarowiejskaGdynia Śródmieście,1175000.0,73.0,3,https://adresowo.pl/o/mieszkanie-gdynia-srodmiescie-ul-starowiejska-3-pokojowe-r4y8e4,16095.890410958904,24.333333333333332
gdynia,Mieszkanie na sprzedaż bez pośrednikówul. GorczycowaGdynia Dąbrowa,580000.0,54.0,3,https://adresowo.pl/o/mieszkanie-gdynia-dabrowa-ul-gorczycowa-3-pokojowe-s4v3n0,10740.74074074074,18.0
gdynia,Mieszkanie na sprzedażul. GórniczaGdynia Karwiny,780000.0,77.0,3,https://adresowo.pl/o/mieszkanie-gdynia-karwiny-ul-gornicza-3-pokojowe-r5z9h6,10129.87012987013,25.666666666666668
gdynia,Mieszkanie na sprzedaż bez pośrednikówWitominoGdynia,520000.0,422.0,2,https://adresowo.pl/o/mieszkanie-gdynia-witomino-2-pokojowe-422-m2-c9y5l5,1232.2274881516587,211.0
gdynia,Mieszkanie na sprzedaż bez pośrednikówul. mjr. Henryka SucharskiegoGdynia Obłuże,650000.0,60.0,3,https://adresowo.pl/o/mieszkanie-gdynia-obluze-ul-mjr-henryka-sucharskiego-3-pokojowe-m1p4g8,10833.333333333334,20.0
gdynia,Mieszkanie na sprzedaż bez pośrednikówul. Juliana TuwimaGdynia Karwiny,720000.0,63.0,3,https://adresowo.pl/o/mieszkanie-gdynia-karwiny-ul-juliana-tuwima-3-pokojowe-a1l5q6,11428.57142857143,21.0
gdynia,Mieszkanie na sprzedaż bez pośrednikówul. płk. Stanisława DąbkaGdynia Obłuże,599000.0,63.0,2,https://adresowo.pl/o/mieszkanie-gdynia-obluze-ul-plk-stanislawa-dabka-2-pokojowe-q9y4f4,9507.936507936507,31.5
gdynia,Mieszkanie na sprzedaż bez pośrednikówul. Stanisława FilipkowskiegoGdynia Chwarzno-Wiczlino,1279000.0,112.0,4,https://adresowo.pl/o/mieszkanie-gdynia-chwarzno-wiczlino-ul-stanislawa-filipkowskiego-4-pokojowe-c9w7i8,11419.642857142857,28.0
sopot,Mieszkanie na sprzedaż bez pośrednikówul. PolnaSopot Sopot Dolny,1285000.0,54.0,2,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-polna-2-pokojowe-m5y5j2,23796.296296296296,27.0
sopot,Mieszkanie na sprzedażal. NiepodległościSopot,1299999.0,58.0,3,https://adresowo.pl/o/mieszkanie-sopot-al-niepodleglosci-3-pokojowe-e9e9g1,22413.775862068964,19.333333333333332
sopot,Mieszkanie na sprzedaż bez pośrednikówul. 3 MajaSopot Sopot Dolny,820000.0,35.0,2,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-3-maja-2-pokojowe-h0b8o7,23428.571428571428,17.5
sopot,Mieszkanie na sprzedażul. Władysława CieszyńskiegoSopot Brodwino,749000.0,52.0,3,https://adresowo.pl/o/mieszkanie-sopot-brodwino-ul-wladyslawa-cieszynskiego-3-pokojowe-a7a1c6,14403.846153846154,17.333333333333332
sopot,Mieszkanie na sprzedaż bez pośrednikówal. NiepodległościSopot Sopot Górny,520000.0,32.0,1,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-al-niepodleglosci-1-pokoj-d9k1e4,16250.0,32.0
sopot,Mieszkanie na sprzedaż bez pośrednikówul. KujawskaSopot Kamienny Potok,630000.0,46.0,2,https://adresowo.pl/o/mieszkanie-sopot-kamienny-potok-ul-kujawska-2-pokojowe-p4o2n9,13695.652173913044,23.0
sopot,Mieszkanie na sprzedaż bez pośrednikówul. Władysława BroniewskiegoSopot Sopot Górny,595000.0,20.0,1,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-ul-wladyslawa-broniewskiego-1-pokoj-b2v6y1,29750.0,20.0
sopot,Mieszkanie na sprzedaż bez pośrednikówal. NiepodległościSopot Świemirowo,749000.0,49.0,2,https://adresowo.pl/o/mieszkanie-sopot-swiemirowo-al-niepodleglosci-2-pokojowe-h9w4o2,15285.714285714286,24.5
sopot,Mieszkanie na sprzedaż bez pośrednikówul. 3 MajaSopot Sopot Dolny,890000.0,38.0,1,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-3-maja-1-pokoj-s9j6k0,23421.052631578947,38.0
sopot,Mieszkanie na sprzedaż bez pośrednikówul. Jana KasprowiczaSopot Sopot Górny,4500000.0,220.0,5,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-ul-jana-kasprowicza-5-pokojowe-q2b7c4,20454.545454545456,44.0
sopot,Mieszkanie na sprzedażul. HelskaSopot,1190000.0,62.0,3,https://adresowo.pl/o/mieszkanie-sopot-ul-helska-3-pokojowe-x3a7w6,19193.548387096773,20.666666666666668
sopot,Mieszkanie na sprzedażul. Józefa GolcaSopot,698000.0,33.0,2,https://adresowo.pl/o/mieszkanie-sopot-ul-jozefa-golca-2-pokojowe-f5q9m8,21151.515151515152,16.5
sopot,Mieszkanie na sprzedaż bez pośrednikówul. Władysława ŁokietkaSopot,1250000.0,47.0,2,https://adresowo.pl/o/mieszkanie-sopot-ul-wladyslawa-lokietka-2-pokojowe-j7q2k4,26595.744680851065,23.5
sopot,Mieszkanie na sprzedażul. Oskara KolbergaSopot Brodwino,469000.0,31.0,1,https://adresowo.pl/o/mieszkanie-sopot-brodwino-ul-oskara-kolberga-1-pokoj-q4v4d0,15129.032258064517,31.0
sopot,Mieszkanie na sprzedaż bez pośrednikówul. Adama MickiewiczaSopot Sopot Górny,555000.0,37.0,2,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-ul-adama-mickiewicza-2-pokojowe-s5z1s5,15000.0,18.5
sopot,Mieszkanie na sprzedażul. Bohaterów Monte CassinoSopot Centrum,1400000.0,84.0,2,https://adresowo.pl/o/mieszkanie-sopot-centrum-ul-bohaterow-monte-cassino-2-pokojowe-r7p1n7,16666.666666666668,42.0
sopot,Mieszkanie na sprzedaż bez pośrednikówul. Fryderyka ChopinaSopot Sopot Dolny,1079000.0,42.0,2,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-fryderyka-chopina-2-pokojowe-w2y3w2,25690.47619047619,21.0
sopot,Mieszkanie na sprzedażul. Oskara KolbergaSopot Brodwino,569000.0,32.0,2,https://adresowo.pl/o/mieszkanie-sopot-brodwino-ul-oskara-kolberga-2-pokojowe-o6b4k2,17781.25,16.0
sopot,Mieszkanie na sprzedażul. Tadeusza KościuszkiSopot Sopot Dolny,1134000.0,40.0,2,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-tadeusza-kosciuszki-2-pokojowe-t6p8u0,28350.0,20.0
sopot,Mieszkanie na sprzedaż bez pośrednikówul. Tadeusza KościuszkiSopot Sopot Dolny,2950000.0,120.0,5,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-tadeusza-kosciuszki-5-pokojowe-o5d8n1,24583.333333333332,24.0
sopot,Mieszkanie na sprzedaż bez pośrednikówul. Jacka MalczewskiegoSopot,439000.0,24.0,1,https://adresowo.pl/o/mieszkanie-sopot-ul-jacka-malczewskiego-1-pokoj-f4q0d3,18291.666666666668,24.0
sopot,Mieszkanie na sprzedażal. NiepodległościSopot,879000.0,51.0,2,https://adresowo.pl/o/mieszkanie-sopot-al-niepodleglosci-2-pokojowe-x5v1s5,17235.29411764706,25.5
sopot,Mieszkanie na sprzedażul. Bohaterów Monte CassinoSopot,1300000.0,61.0,3,https://adresowo.pl/o/mieszkanie-sopot-ul-bohaterow-monte-cassino-3-pokojowe-y7o7z7,21311.475409836065,20.333333333333332
sopot,Mieszkanie na sprzedażal. NiepodległościSopot,1599000.0,101.0,4,https://adresowo.pl/o/mieszkanie-sopot-al-niepodleglosci-4-pokojowe-b2p4z7,15831.683168316831,25.25
sopot,Mieszkanie na sprzedaż bez pośrednikówul. 23 MarcaSopot Przylesie,360000.0,17.0,1,https://adresowo.pl/o/mieszkanie-sopot-przylesie-ul-23-marca-1-pokoj-r3j5x6,21176.470588235294,17.0
sopot,Mieszkanie na sprzedaż bez pośrednikówul. Henryka SienkiewiczaSopot Kamienny Potok,1990000.0,97.0,4,https://adresowo.pl/o/mieszkanie-sopot-kamienny-potok-ul-henryka-sienkiewicza-4-pokojowe-r1b0c8,20515.463917525773,24.25
sopot,Mieszkanie na sprzedażul. Bitwy pod PłowcamiSopot,750000.0,28.0,2,https://adresowo.pl/o/mieszkanie-sopot-ul-bitwy-pod-plowcami-2-pokojowe-t7f8y5,26785.714285714286,14.0
sopot,Mieszkanie na sprzedażal. NiepodległościSopot Sopot Dolny,950000.0,51.0,2,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-al-niepodleglosci-2-pokojowe-e6l2b6,18627.450980392157,25.5
sopot,Mieszkanie na sprzedażul. 23 Marca 104Sopot Sopot Górny,569000.0,35.0,2,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-ul-23-marca-2-pokojowe-e6y4m3,16257.142857142857,17.5
sopot,Mieszkanie na sprzedaż bez pośrednikówul. gen. Józefa WybickiegoSopot Sopot Górny,1690000.0,78.0,3,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-ul-gen-jozefa-wybickiego-3-pokojowe-q4k4w2,21666.666666666668,26.0
sopot,Mieszkanie na sprzedażul. gen. Józefa WybickiegoSopot,1279000.0,63.0,4,https://adresowo.pl/o/mieszkanie-sopot-ul-gen-jozefa-wybickiego-4-pokojowe-w5p1r8,20301.5873015873,15.75
sopot,Mieszkanie na sprzedaż bez pośrednikówul. Armii KrajowejSopot Sopot Górny,1500000.0,49.0,2,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-ul-armii-krajowej-2-pokojowe-b7i6y4,30612.244897959183,24.5
sopot,Mieszkanie na sprzedaż bez pośrednikówul. Alfonsa ChmielewskiegoSopot Centrum,1385000.0,50.0,3,https://adresowo.pl/o/mieszkanie-sopot-centrum-ul-alfonsa-chmielewskiego-3-pokojowe-u1e0d8,27700.0,16.666666666666668
sopot,Mieszkanie na sprzedażul. Oskara KolbergaSopot Brodwino,540000.0,40.0,2,https://adresowo.pl/o/mieszkanie-sopot-brodwino-ul-oskara-kolberga-2-pokojowe-q0k3x2,13500.0,20.0
sopot,Mieszkanie na sprzedaż bez pośrednikówul. KujawskaSopot Kamienny Potok,769000.0,51.0,2,https://adresowo.pl/o/mieszkanie-sopot-kamienny-potok-ul-kujawska-2-pokojowe-g7p9l1,15078.43137254902,25.5
sopot,Mieszkanie na sprzedaż bez pośrednikówul. Jana Jerzego HaffneraSopot Sopot Dolny,1040000.0,26.0,1,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-jana-jerzego-haffnera-1-pokoj-q6a7g7,40000.0,26.0
sopot,Mieszkanie na sprzedaż bez pośrednikówal. NiepodległościSopot Wyścigi,949000.0,47.0,3,https://adresowo.pl/o/mieszkanie-sopot-wyscigi-al-niepodleglosci-3-pokojowe-j0x1u4,20191.489361702126,15.666666666666666
sopot,Mieszkanie na sprzedaż bez pośrednikówul. Bohaterów Monte CassinoSopot Sopot Górny,1450000.0,97.0,2,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-ul-bohaterow-monte-cassino-2-pokojowe-j6m2m4,14948.453608247422,48.5
sopot,Mieszkanie na sprzedaż bez pośrednikówul. 3 MajaSopot Sopot Dolny,1300000.0,62.0,2,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-3-maja-2-pokojowe-q3a7a6,20967.74193548387,31.0
