city,title,price,area,rooms,link
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. JeleniogórskaGdańsk Ujeścisko,"Mieszkanie Gdańsk, ul. Jeleniogórska, bez pośrednika - 55 m² - 690 000 zł",55,2,https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-jeleniogorska-2-pokojowe-c3o0i4
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. Kazimierza WielkiegoGdańsk Orunia Górna,zł,32,1,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-1-pokoj-e7v4j6
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. WawelskaGdańsk Chełm,"Mieszkanie Gdańsk, ul. Wawelska, bez pośrednika - 43 m² - 650 000 zł",43,2,https://adresowo.pl/o/mieszkanie-gdansk-chelm-ul-wawelska-2-pokojowe-n1m9q7
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. NiepołomickaGdańsk Orunia Górna,"Mieszkanie Gdańsk, ul. Niepołomicka, bez pośrednika - 51 m² - 695 000 zł",51,2,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-niepolomicka-2-pokojowe-d1i1q6
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. NiepołomickaGdańsk Orunia,"Mieszkanie Gdańsk, ul. Niepołomicka, bez pośrednika - 55 m² - 818 000 zł",55,3,https://adresowo.pl/o/mieszkanie-gdansk-orunia-ul-niepolomicka-3-pokojowe-l8t2n2
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. JesionowaGdańsk Wrzeszcz,zł,42,2,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-jesionowa-2-pokojowe-e6k2a5
gdansk,Mieszkanie na sprzedażul. StarowiejskaGdańsk Letnica,"Mieszkanie Gdańsk, ul. Starowiejska - 60 m² - 899 000 zł",60,3,https://adresowo.pl/o/mieszkanie-gdansk-letnica-ul-starowiejska-3-pokojowe-r0g4x6
gdansk,Mieszkanie na sprzedażul. HokejowaGdańsk Łostowice,"Mieszkanie Gdańsk, ul. Hokejowa - 63 m² - 789 000 zł",63,4,https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-hokejowa-4-pokojowe-i6k9r8
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. Kazimierza WielkiegoGdańsk Orunia Górna,zł,38,2,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-2-pokojowe-u7g5z3
gdansk,Mieszkanie na sprzedażul. św. BarbaryGdańsk Śródmieście,"Mieszkanie Gdańsk, ul. św. Barbary - 33 m² - 699 000 zł",33,2,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-sw-barbary-2-pokojowe-z0z0b3
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. WypoczynkowaGdańsk Jelitkowo,"Mieszkanie Gdańsk, ul. Wypoczynkowa, bez pośrednika - 83 m² - 2 599 000 zł",83,3,https://adresowo.pl/o/mieszkanie-gdansk-jelitkowo-ul-wypoczynkowa-3-pokojowe-r6n2e8
gdansk,Mieszkanie na sprzedażal. Wojska PolskiegoGdańsk Strzyża,"Mieszkanie Gdańsk, al. Wojska Polskiego - 64 m² - 1 100 000 zł",64,3,https://adresowo.pl/o/mieszkanie-gdansk-strzyza-al-wojska-polskiego-3-pokojowe-y0z8l5
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. Kazimierza WielkiegoGdańsk Orunia Górna,zł,64,4,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-4-pokojowe-q9s1h0
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. JesionowaGdańsk Wrzeszcz,zł,54,3,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-jesionowa-3-pokojowe-d3i4o0
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. KrzemowaGdańsk Orunia Górna,"Mieszkanie Gdańsk, ul. Krzemowa, bez pośrednika - 110 m² - 1 300 000 zł",110,4,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-krzemowa-4-pokojowe-s2c2z6
gdansk,Mieszkanie na sprzedażul. ŁąkowaGdańsk Śródmieście,"Mieszkanie Gdańsk, ul. Łąkowa - 56 m² - 1 353 000 zł",56,2,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-lakowa-2-pokojowe-i1o9t3
gdansk,Mieszkanie na sprzedaż bez pośrednikówul. Związku JaszczurczegoGdańsk Morena,"Mieszkanie Gdańsk, ul. Związku Jaszczurczego, bez pośrednika - 60 m² - 695 000 zł",60,3,https://adresowo.pl/o/mieszkanie-gdansk-morena-ul-zwiazku-jaszczurczego-3-pokojowe-m2f4n1
